0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
RGM.1291766;OtherSpecimen;;Petrology;;INDONESIA;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1291766;;;not applicable;BROUWER H.A.;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1251686;OtherSpecimen;;Petrology;;Italy;;;;;;;;1.0;;;;;Libiola;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1251686;;;thin section;Stam J.C.;;;;;Genoa;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1194037;OtherSpecimen;;Petrology;;;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1194037;;;thin section;F. Lamers;;;;;;;;;;;;;https://medialib.naturalis.nl/file/id/RGM.1194037/format/large;;;;;;;ICZN;WGS84
RGM.128133.0;OtherSpecimen;;Petrology;;ITALY;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.128133.0;;;not applicable;VAN DER WEGENG. 24.8.1969;metamorphic rocks of unknown origin;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.380337;OtherSpecimen;;Petrology;;;;;;;;;;;;;;;LOSSER, TWENTE, OVERIJSSEL;https://data.biodiversitydata.nl/naturalis/specimen/RGM.380337;;;not applicable;;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.320572.0;OtherSpecimen;;Petrology;;NORWAY;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.320572.0;;;not applicable;SCHÜRMANNH.M.E.  9.8.1960.3K;metamorphic rocks of sedimentary origin;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.14821.0;OtherSpecimen;;Petrology;;INDONESIA;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.14821.0;;;not applicable;KUENENPH.H. 1929-1930;sed.ores;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.43225.0;OtherSpecimen;;Petrology;;SWEDEN;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.43225.0;;;not applicable;DE SITTERL.U. 1946;plutonic rocks;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.318612.0;OtherSpecimen;;Petrology;;GERMANY;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.318612.0;;;not applicable;SCHÜRMANNH.M.E. 1910-1913;volcanic rocks;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.98459.0;OtherSpecimen;;Petrology;;SWEDEN;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.98459.0;;;not applicable;OVERWEELC.J. 01 08 1959;metamorphic rocks suspected of igneous origin;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.194066.0;OtherSpecimen;;Petrology;;JAMAICA;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.194066.0;;;not applicable;KRIJNENJ.P.;hypabyssal-volcanic rocks;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1021570;OtherSpecimen;;Petrology;;SPAIN;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1021570;;;not applicable;SIMON O.J.;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.329849.0;OtherSpecimen;;Petrology;;ITALY;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.329849.0;;;not applicable;;metamorphic rocks of sedimentary origin;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.359126;OtherSpecimen;;Petrology;;Netherlands;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.359126;;;not applicable;ZANDSTRA J.G.;natural rocks,origin unknown;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1200103;OtherSpecimen;;Petrology;;;;;;;;;;;;Corsica;;;Francardo;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1200103;;;thin section;Dr. T. de Booy;;;;;;;;;;;;;https://medialib.naturalis.nl/file/id/RGM.1200103/format/large;;;;;;;ICZN;WGS84
RGM.6471.0;OtherSpecimen;;Petrology;;FRANCE;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.6471.0;;;not applicable;EXC.NORMANDIE1928;groups of various minerals;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.327697.0;OtherSpecimen;;Petrology;;INDONESIA;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.327697.0;;;not applicable;VON ROSENBERGC.B.H.;carbonates;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.500844;OtherSpecimen;;Petrology;;Germany;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.500844;;;not applicable;ZANDSTRA J.G.;natural rocks,origin unknown;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1295252;OtherSpecimen;;Petrology;;NORWAY;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1295252;;;not applicable;SCHAAR G.;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.861629;OtherSpecimen;;Petrology;;Netherlands;;;;;;;;;;;;;Baardwijksche overlaat;https://data.biodiversitydata.nl/naturalis/specimen/RGM.861629;;;not applicable;Staring;;;;;North Brabant;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1197616;OtherSpecimen;;Petrology;;;;;;;;;;;;Flores;;;L. Soko Ria;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1197616;;;thin section;De Jong;;;;;;;;;;;;;https://medialib.naturalis.nl/file/id/RGM.1197616/format/large;;;;;;;ICZN;WGS84
RGM.1155400;OtherSpecimen;;Petrology;;;;;;;;;;;;Corsica;;;ESE Pietralba;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1155400;;;thin section;Varenkamp;;;;;;;;;;;;;https://medialib.naturalis.nl/file/id/RGM.1155400/format/large;;;;;;;ICZN;WGS84
RGM.1251678;OtherSpecimen;;Petrology;;Italy;;;;;;;;1.0;;;;;Libiola;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1251678;;;thin section;Stam J.C.;;;;;Genoa;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1197509;OtherSpecimen;;Petrology;;;;;;;;;;;;Wetar;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1197509;;;thin section;De Jong;;;;;;;;;;;;;https://medialib.naturalis.nl/file/id/RGM.1197509/format/large;;;;;;;ICZN;WGS84
RGM.855083;OtherSpecimen;;Petrology;;Unknown;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.855083;;;not applicable;Brugmans;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1082224;OtherSpecimen;;Petrology;;Unknown;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1082224;;;thin section;Dozy;;;;;;;;;;;;;https://medialib.naturalis.nl/file/id/RGM.1082224/format/large;;;;;;;ICZN;WGS84
RGM.1073856;OtherSpecimen;;Petrology;;Unknown;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1073856;;;thin section;;;;;;;;;;;;;;https://medialib.naturalis.nl/file/id/RGM.1073856_2/format/large|https://medialib.naturalis.nl/file/id/RGM.1073856/format/large;;;;;;;ICZN;WGS84
RGM.242339.0;OtherSpecimen;;Petrology;;GERMANY;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.242339.0;;;not applicable;RETGERS;plutonic rocks;;;;;;;;;;;;;;;;;;;ICZN;WGS84
