0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
RGM.1033870;OtherSpecimen;;Mineralogy;;Italy;;;;;;;;;;;;;RADDUSA;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1033870;;;not applicable;;HAUERITE;;;;SICILY;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1047809;OtherSpecimen;;Mineralogy;;United States;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1047809;;;not applicable;;Kalomel;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.140259;OtherSpecimen;;Mineralogy;;SPAIN;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.140259;;;not applicable;;;;;;GALICIA;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1061051;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1061051;;;not applicable;;Dolomiet (min.);;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1324863;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;;;;;;Eifel, District Mayen-Koblenz, Mendig, Niedermendig;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1324863;;;not applicable;Kijlstra E.;Magnetite 4.BB.05;;;;Rhineland Palatinate;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1359166;OtherSpecimen;;Mineralogy;;Sweden;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1359166;;;air dried;;Hematiet (waarschijnlijk met korund);;;;Gellivaara;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.109672;OtherSpecimen;;Mineralogy;;SPAIN;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.109672;;;not applicable;;;;;;GALICIA;;;;;;;;;;;;;;;ICZN;WGS84
RGM.355387;OtherSpecimen;;Mineralogy;;Sri Lanka;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.355387;;;not applicable;;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.150414;OtherSpecimen;;Mineralogy;;SRI LANKA;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.150414;;;not applicable;;PYROPE/ALMANDINE;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1037186;OtherSpecimen;;Mineralogy;;;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1037186;;;not applicable;;Kwartskristallen en galenietkristallen en chalcopyriet;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1328900;OtherSpecimen;;Mineralogy;;Switzerland;;;;;;;;;;;;;Haslital, Guttannen;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1328900;;;not applicable;Marsman H.;Chlorite;;;;Bern Kanton;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.79889;OtherSpecimen;;Mineralogy;;Italy;;;;;;;;1;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.79889;;;not applicable;;HAUERITE;;;;ISLE SICILY;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.81782;OtherSpecimen;;Mineralogy;;Switzerland;;;;;;;;3;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.81782;;;not applicable;;NA-HORNBLENDE;;;;TESSIN;;genus;;;;;genus;;;DATE OLD: 18-08-1959;;;;;ICZN;WGS84
RGM.97926;OtherSpecimen;;Mineralogy;;SPAIN;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.97926;;;not applicable;;;;;;GALICIA;;;;;;;;;;;;;;;ICZN;WGS84
RGM.141326;OtherSpecimen;;Mineralogy;;SPAIN;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.141326;;;not applicable;;;;;;GALICIA;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1038877;OtherSpecimen;;Mineralogy;;Russia;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1038877;;;not applicable;;Apatiet;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1322539;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;;;;;;Schwarzwald, District Freudenstadt, Baiersbron, Schonegrund, Grube Konigswart;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1322539;;;not applicable;Kijlstra E.;Emplectite 2.HA.05;;;;Baden-Württemberg;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1052850;OtherSpecimen;;Mineralogy;;Italy;;;;;;;;;;;;;Val Cuveo;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1052850;;;not applicable;;Steatiet;;;;Lombardije;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1045178;OtherSpecimen;;Mineralogy;;;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1045178;;;not applicable;;Bazalt;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1330777;OtherSpecimen;;Mineralogy;;USA;;;;;;;;;;;;;Allegany County, Frostburg;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1330777;;;not applicable;Kijlstra E.;Siderite 5.AB.05;;;;Maryland;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.163119;OtherSpecimen;;Mineralogy;;Canada;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.163119;;;not applicable;;CORUNDUM, SCAPOLITE;;;;ONTARIO;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.355395;OtherSpecimen;;Mineralogy;;Sri Lanka;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.355395;;;not applicable;;AMPHIBOLE;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.319111.0;OtherSpecimen;;Mineralogy;;GERMANY;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.319111.0;;;not applicable;SCHÜRMANNH.M.E. 1910-1913;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.355560;OtherSpecimen;;Mineralogy;;Sri Lanka;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.355560;;;not applicable;;ROCK CRYSTAL;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1040100;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1040100;;;not applicable;;Galeniet;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
